"series","rank","value","who"
"receipts",184,5374239.35,"JOHNSON, RON HAROLD MR."
"receipts",189,5298299.52,"AVLON, JOHN"
"receipts",193,5066723,"PULLIAM, ALANDER LEE JR"
"receipts",198,4984888.62,"CLARK, KATHERINE"
"receipts",203,4906088.81,"HAGERTY, BILL"
"receipts",208,4795621.51,"BUCKHOUT, LAURIE"
"receipts",214,4557540.15,"SHERRILL, MIKIE"
"receipts",219,4507302.43,"DAUGHTRY, KELLY"
"receipts",224,4358978.46,"GOODLANDER, MAGGIE"
"receipts",230,4271171.67,"NICK, LALOTA"
"receipts",236,4213494.89,"SCHWEIKERT, DAVID S."
"receipts",242,4143083.15,"SWALWELL, ERIC MICHAEL"
"receipts",248,3998823.63,"MAST, BRIAN"
"receipts",254,3857871.22,"DOBSON, CAROLEENE"
"receipts",261,3719975.07,"LANDSMAN, GREG"
"receipts",267,3573987.46,"STEIN, JILL"
"receipts",274,3408433.58,"ANDERSON, DERRICK"
"receipts",281,3292048.88,"HIRONO, MAZIE K."
"receipts",288,3241786.33,"PETERS, GARY"
"receipts",295,3131114.63,"MCCAUL, MICHAEL"
"receipts",303,3070024.92,"HAGEMAN, HARRIET"
"receipts",310,2995402.57,"TENNEY, CLAUDIA"
"receipts",318,2931555.95,"ROGERS, MICHAEL"
"receipts",326,2875984.7,"NUNES, DEVIN G."
"receipts",335,2790888.71,"SCHUMER, CHARLES E."
"receipts",343,2704752.4,"VANCE, J D"
"receipts",352,2628628.73,"FIGURES, SHOMARI C."
"receipts",361,2575711.85,"AMO, GABRIEL F"
"receipts",370,2488964.09,"COTTON, THOMAS"
"receipts",379,2436548.88,"TITUS, DINA"
"receipts",389,2383094.47,"NICKEL, WILEY"
"receipts",398,2312574.6,"BARCA, PETER WILLIAM"
"receipts",409,2276284.45,"STAUBER, PETER ALLEN"
"receipts",419,2222667.81,"CLYBURN, JAMES E."
"receipts",429,2184235.62,"MCGARVEY, MORGAN"
"receipts",440,2111873.54,"BUDD, THEODORE P."
"receipts",451,2037379.78,"CARBAJAL, SALUD O."
"receipts",463,1978942.81,"RANDALL, EMILY"
"receipts",475,1922536.14,"FORTE, TINA"
"receipts",486,1868399.92,"LUTTRELL, MORGAN JOE"
"receipts",499,1789789.09,"MCCOLLUM, BETTY"
"receipts",511,1754997.99,"YOUNG, TODD CHRISTOPHER"
"receipts",524,1725662.38,"LUCAS, FRANK D."
"receipts",538,1662607.45,"COUGHLIN, KEVIN"
"receipts",551,1595994.35,"MILLER, MARY"
"receipts",565,1540339.6,"HERNANDEZ RIVERA, PABLO JOSE"
"receipts",579,1505457.35,"PRESCOTT, RUSSELL"
"receipts",594,1443700.37,"MOORE, RILEY"
"receipts",609,1383059.41,"BIGGS, ANDY"
"receipts",624,1329459.04,"FITZGERALD, SCOTT"
"receipts",640,1255402.35,"SCHULTZ, JENNIFER"
"receipts",656,1234622.77,"BUSS, JOHNNY HATTEN"
