"fips","county","state","total","one_race","white","black","aian","asian","nhpi","other_race","two_or_more","hispanic","not_hispanic","nh_white","nh_black","nh_aian","nh_asian","nh_nhpi","nh_other","nh_two","gq_total","gq_correctional","gq_juvenile","gq_nursing","gq_college","gq_military"
"42127","Wayne County","Pennsylvania",51155,48667,45795,1722,111,424,0,615,2488,2347,48808,44821,1647,73,418,0,165,1684,3223,2750,22,257,16,0
"42129","Westmoreland County","Pennsylvania",354663,339397,324684,9188,419,3328,38,1740,15266,5230,349433,323114,8985,295,3301,36,953,12749,6209,583,189,2142,2278,0
"42131","Wyoming County","Pennsylvania",26069,24928,24363,233,44,119,6,163,1141,581,25488,24142,214,32,115,3,40,942,596,56,0,97,384,0
"42133","York County","Pennsylvania",456438,427798,373200,27999,1116,6675,182,18626,28640,39360,417078,365353,25768,640,6557,118,1768,16874,8071,1686,40,3070,2097,0
"48001","Anderson County","Texas",57922,54327,34922,11577,357,392,13,7066,3595,11111,46811,33098,11430,193,381,13,113,1583,13906,13344,0,411,0,0
"48003","Andrews County","Texas",18610,14756,10909,237,220,112,0,3278,3854,10400,8210,7405,192,96,102,0,49,366,67,0,0,59,0,0
"48005","Angelina County","Texas",86395,78097,54887,13098,563,919,42,8588,8298,19732,66663,49970,12872,200,891,30,196,2504,2516,1104,17,543,101,0
"48007","Aransas County","Texas",23830,20580,17996,264,245,501,17,1557,3250,6158,17672,15816,241,142,480,15,78,900,414,197,0,169,0,0
"48009","Archer County","Texas",8560,8011,7551,32,108,19,0,301,549,742,7818,7356,30,71,18,0,21,322,68,26,0,29,0,0
"48011","Armstrong County","Texas",1848,1725,1646,13,17,10,0,39,123,144,1704,1593,6,17,10,0,2,76,44,3,0,41,0,0
"48013","Atascosa County","Texas",48981,36893,28203,425,491,206,18,7550,12088,31178,17803,16066,340,116,170,15,177,919,366,0,0,323,0,0
"48015","Austin County","Texas",30167,26193,20164,2440,277,201,8,3103,3974,8052,22115,18480,2352,78,201,8,107,889,285,40,30,97,0,0
"48017","Bailey County","Texas",6904,5553,3348,65,86,11,0,2043,1351,4540,2364,2190,49,24,8,0,27,66,128,78,0,50,0,0
"48019","Bandera County","Texas",20851,18339,17110,110,157,97,15,850,2512,4010,16841,15595,102,101,95,11,71,866,206,62,3,31,0,0
"48021","Bastrop County","Texas",97216,80549,55730,5759,1268,765,74,16953,16667,41484,55732,45751,5460,312,718,63,417,3011,2167,1647,0,469,0,0
"48023","Baylor County","Texas",3465,3227,3036,57,11,9,0,114,238,439,3026,2797,52,11,9,0,8,149,54,0,0,54,0,0
