"from_2020","to_2024","weight"
"BRYAN|HWY 144 EAST","BRYAN|WETLANDS CENTER",9.3e-05
"BRYAN|J.F.GREGORY PARK","BRYAN|WETLANDS CENTER",0.999796
"BRYAN|J.F.GREGORY PARK","BRYAN|NEW BEGINNINGS",0.000164
"BRYAN|J.F.GREGORY PARK","BRYAN|FIRST BAPTIST CHURCH",4e-05
"BRYAN|KELLER","BRYAN|SPIRIT OF PEACE LUTHERAN CHURCH",0.999972
"BRYAN|KELLER","BRYAN|NEW BEGINNINGS",2.7e-05
"BRYAN|PEMBROKE","BRYAN|HARN COMMUNITY CENTER",0.99959
"BRYAN|PEMBROKE","NA|NA",0.00041
"BRYAN|PUBLIC SAFETY COMPX","BRYAN|DEVAUL HENDERSON PARK GYM",0.999219
"BRYAN|PUBLIC SAFETY COMPX","BRYAN|DANIEL SIDING",0.000638
"BRYAN|PUBLIC SAFETY COMPX","BRYAN|FIRST BAPTIST CHURCH",0.000101
"BRYAN|PUBLIC SAFETY COMPX","BRYAN|TIMBER TRAIL",4.3e-05
"BRYAN|RH RECREATION COMPX","BRYAN|FIRST BAPTIST CHURCH",0.680972
"BRYAN|RH RECREATION COMPX","BRYAN|TIMBER TRAIL",0.318123
"BRYAN|RH RECREATION COMPX","BRYAN|WETLANDS CENTER",0.000904
"BRYAN|RH RECREATION COMPX","BRYAN|DEVAUL HENDERSON PARK GYM",1e-06
"BRYAN|WAYS STATION","BRYAN|FIRST BAPTIST CHURCH",0.997709
"BRYAN|WAYS STATION","NA|NA",0.002061
"BRYAN|WAYS STATION","BRYAN|WETLANDS CENTER",0.000228
"BRYAN|WAYS STATION","BRYAN|DANIEL SIDING",2e-06
"BULLOCH|BAY","BULLOCH|BAY",0.999999
"BULLOCH|BAY","BULLOCH|BROOKLET",1e-06
"BULLOCH|BLITCH","BULLOCH|BLITCH",0.999298
"BULLOCH|BLITCH","BULLOCH|PORTAL",0.000702
"BULLOCH|BROOKLET","BULLOCH|BROOKLET",1
"BULLOCH|CHURCH","BULLOCH|CHURCH",0.998818
"BULLOCH|CHURCH","BULLOCH|HAGIN",0.001065
"BULLOCH|CHURCH","BULLOCH|PORTAL",1e-04
"BULLOCH|CHURCH","BULLOCH|STATESBORO",1.6e-05
"BULLOCH|EMIT","BULLOCH|EMIT",0.999948
"BULLOCH|EMIT","BULLOCH|FAIR",2e-05
"BULLOCH|EMIT","BULLOCH|NEVILS",1.8e-05
"BULLOCH|EMIT","BULLOCH|BROOKLET",1.4e-05
"BULLOCH|FAIR","BULLOCH|FAIR",0.999156
"BULLOCH|FAIR","BULLOCH|PITTMAN PARK",0.000543
"BULLOCH|FAIR","BULLOCH|EMIT",0.000181
"BULLOCH|FAIR","BULLOCH|STATESBORO",0.000105
"BULLOCH|FAIR","BULLOCH|BROOKLET",1.6e-05
"BULLOCH|HAGIN","BULLOCH|HAGIN",0.999973
"BULLOCH|HAGIN","BULLOCH|CHURCH",2.7e-05
"BULLOCH|LEEFIELD","BULLOCH|LEEFIELD",0.999999
"BULLOCH|LOCKHART","BULLOCH|LOCKHART",0.999998
"BULLOCH|LOCKHART","BULLOCH|BLITCH",1e-06
"BULLOCH|NEVILS","BULLOCH|NEVILS",1
"BULLOCH|PITTMAN PARK","BULLOCH|PITTMAN PARK",0.999774
"BULLOCH|PITTMAN PARK","BULLOCH|FAIR",0.000223
"BULLOCH|PITTMAN PARK","BULLOCH|STATESBORO",2e-06
"BULLOCH|PORTAL","BULLOCH|PORTAL",0.999896
"BULLOCH|PORTAL","BULLOCH|STATESBORO",0.000103
"BULLOCH|REGISTER","BULLOCH|REGISTER",0.999629
"BULLOCH|REGISTER","BULLOCH|STATESBORO",0.000371
"BULLOCH|SINKHOLE","BULLOCH|SINKHOLE",0.999888
"BULLOCH|SINKHOLE","BULLOCH|REGISTER",0.000112
"BULLOCH|STATESBORO","BULLOCH|STATESBORO",0.999436
"BULLOCH|STATESBORO","BULLOCH|CHURCH",0.000492
"BULLOCH|STATESBORO","BULLOCH|FAIR",5.1e-05
"BULLOCH|STATESBORO","BULLOCH|REGISTER",1.6e-05
"BULLOCH|STATESBORO","BULLOCH|PORTAL",4e-06
"BULLOCH|STILSON","BULLOCH|STILSON",1
"BURKE|ALEXANDER","BURKE|ALEXANDER",0.999997
"BURKE|ALEXANDER","JENKINS|PERKINS",2e-06
"BURKE|BLAKENEY","BURKE|BLAKENEY",1
"BURKE|FOUR POINTS","BURKE|FOUR POINTS",0.999997
"BURKE|FOUR POINTS","BURKE|KEYSVILLE",3e-06
"BURKE|GIRARD","BURKE|GIRARD",1
"BURKE|GOUGH","BURKE|GOUGH",1
"BURKE|GREENSCUT","BURKE|GREENSCUT",1
"BURKE|KEYSVILLE","BURKE|KEYSVILLE",0.999999
"BURKE|MIDVILLE","BURKE|MIDVILLE",1
"BURKE|MUNNERLYN","BURKE|MUNNERLYN",0.999999
"BURKE|MUNNERLYN","JENKINS|PERKINS",1e-06
"BURKE|NORTH WAYNESBORO","BURKE|NORTH WAYNESBORO",0.999937
"BURKE|NORTH WAYNESBORO","BURKE|ST. CLAIR",6.3e-05
"BURKE|SARDIS","BURKE|SARDIS",1
"BURKE|SCOTTS CROSSROADS","BURKE|SCOTTS CROSSROADS",1
"BURKE|SOUTH WAYNESBORO","BURKE|SOUTH WAYNESBORO",1
"BURKE|ST. CLAIR","BURKE|ST. CLAIR",1
"BURKE|TELFAIR","BURKE|TELFAIR",1
"BURKE|VIDETTE","BURKE|VIDETTE",1
"BUTTS|BUTTS COUNTY ADMIN BLDG","BUTTS|BUTTS COUNTY ADMINISTRATION JUDICIAL CENTER",1
"CALHOUN|ARLINGTON","CALHOUN|ARLINGTON",0.999704
"CALHOUN|ARLINGTON","CALHOUN|EDISON-ARLINGTON",0.000296
"CALHOUN|EDISON","CALHOUN|EDISON",0.999203
"CALHOUN|EDISON","CALHOUN|EDISON-ARLINGTON",0.000797
"CALHOUN|EDISON-ARLINGTON","CALHOUN|EDISON-ARLINGTON",1
"CALHOUN|LEARY","CALHOUN|LEARY",1
"CALHOUN|MORGAN","CALHOUN|MORGAN",1
"CAMDEN|BROWNTOWN","CAMDEN|WEST KINGSLAND",1
