GEOID,state,city,grade,total,white,black,pct_black
06037218300,CA,Los Angeles,C,5206,969,1328,25.51
06037218400,CA,Los Angeles,C,4364,641,824,18.88
06037218500,CA,Los Angeles,C,2810,531,736,26.19
06037218600,CA,Los Angeles,C,2820,495,698,24.75
06037218701,CA,Los Angeles,C,2455,298,787,32.06
06037218702,CA,Los Angeles,C,2199,281,597,27.15
06037218800,CA,Los Angeles,C,2633,275,503,19.1
06037218900,CA,Los Angeles,C,5329,679,1702,31.94
06037219010,CA,Los Angeles,C,2749,346,545,19.83
06037219020,CA,Los Angeles,C,4590,519,924,20.13
06037219300,CA,Los Angeles,C,3757,446,941,25.05
06037219700,CA,Los Angeles,C,4186,600,915,21.86
06037219800,CA,Los Angeles,C,2931,352,486,16.58
06037219901,CA,Los Angeles,C,4651,571,629,13.52
06037220000,CA,Los Angeles,C,5420,885,1897,35.0
06037221110,CA,Los Angeles,D,3289,291,110,3.34
06037221120,CA,Los Angeles,D,3030,215,69,2.28
06037221210,CA,Los Angeles,C,2917,405,137,4.7
06037221220,CA,Los Angeles,D,3143,323,82,2.61
06037221302,CA,Los Angeles,C,4330,567,523,12.08
06037221303,CA,Los Angeles,C,2384,254,164,6.88
