"state","cd","district","democrat","republican","dem_share","pres_party","house_rep","house_rep_party"
"FL","11","FL-11",41.34,57.58,41.79,"republican","Daniel Webster","republican"
"FL","12","FL-12",32.24,66.77,32.56,"republican","Gus M. Bilirakis","republican"
"FL","13","FL-13",43.41,55.22,44.01,"republican","Anna Paulina Luna","republican"
"FL","14","FL-14",53.01,45.38,53.88,"democrat","Kathy Castor","democrat"
"FL","15","FL-15",43.52,54.68,44.32,"republican","Laurel M. Lee","republican"
"FL","16","FL-16",41.71,57.23,42.16,"republican","Vern Buchanan","republican"
"FL","17","FL-17",37.68,61.6,37.95,"republican","W. Gregory Steube","republican"
"FL","18","FL-18",34.9,64.33,35.17,"republican","Scott Franklin","republican"
"FL","19","FL-19",34.92,63.97,35.31,"republican","Byron Donalds","republican"
"FL","20","FL-20",69.26,29.57,70.08,"democrat","Sheila Cherfilus-Mccormick","democrat"
"FL","21","FL-21",41.19,57.69,41.66,"republican","Brian J. Mast","republican"
"FL","22","FL-22",52.17,46.62,52.81,"democrat","Lois Frankel","democrat"
"FL","23","FL-23",50.31,48.43,50.95,"democrat","Jared Moskowitz","democrat"
"FL","24","FL-24",64.38,34.43,65.16,"democrat","Frederica S. Wilson","democrat"
"FL","25","FL-25",51.98,46.69,52.68,"democrat","Debbie Wasserman Schultz","democrat"
"FL","26","FL-26",32.11,66.99,32.4,"republican","Mario Diaz-Balart","republican"
"FL","27","FL-27",42.12,56.73,42.61,"republican","Maria Elvira Salazar","republican"
"FL","28","FL-28",36.86,62.22,37.2,"republican","Carlos A. Gimenez","republican"
"GA","01","GA-01",41.96,57.62,42.14,"republican","Earl L. \""Buddy\"" Carter","republican"
"GA","02","GA-02",53.64,46.15,53.75,"democrat","Sanford D. Bishop, Jr.","democrat"
"GA","03","GA-03",34.27,65.23,34.44,"republican","Brian Jack","republican"
"GA","04","GA-04",75.57,23.37,76.38,"democrat","Henry C. \""Hank\"" Johnson, Jr.","democrat"
"GA","05","GA-05",85.56,13.47,86.4,"democrat","Nikema Williams","democrat"
"GA","06","GA-06",74.62,24.63,75.18,"democrat","Lucy Mcbath","democrat"
"GA","07","GA-07",38.86,59.96,39.32,"republican","Richard Mccormick","republican"
"GA","08","GA-08",34.23,65.54,34.31,"republican","Austin Scott","republican"
"GA","09","GA-09",32.22,67.14,32.43,"republican","Andrew S. Clyde","republican"
"GA","10","GA-10",38.81,60.66,39.02,"republican","Mike Collins","republican"
"GA","11","GA-11",37.68,61.4,38.03,"republican","Barry Loudermilk","republican"
"GA","12","GA-12",42.8,56.86,42.95,"republican","Rick W. Allen","republican"
"GA","13","GA-13",70.72,28.34,71.39,"democrat","David Scott","democrat"
"GA","14","GA-14",31.05,68.41,31.22,"republican","Marjorie Taylor Greene","republican"
"HI","01","HI-01",61.5,36.77,62.58,"democrat","Ed Case","democrat"
"HI","02","HI-02",59.74,38.14,61.03,"democrat","Jill N. Tokuda","democrat"
"IA","01","IA-01",45.04,53.5,45.71,"republican","Mariannette Miller-Meeks","republican"
"IA","02","IA-02",44.32,54.31,44.94,"republican","Ashley Hinson","republican"
"IA","03","IA-03",47.15,51.55,47.77,"republican","Zachary Nunn","republican"
"IA","04","IA-04",33.6,65.08,34.05,"republican","Randy Feenstra","republican"
"ID","01","ID-01",26.24,71.3,26.9,"republican","Russ Fulcher","republican"
"ID","02","ID-02",35.12,61.84,36.22,"republican","Michael K. Simpson","republican"
"IL","01","IL-01",65.37,33.36,66.21,"democrat","Jonathan L. Jackson","democrat"
"IL","02","IL-02",65.88,32.75,66.8,"democrat","Robin L. Kelly","democrat"
"IL","03","IL-03",64.72,33.53,65.87,"democrat","Delia C. Ramirez","democrat"
"IL","04","IL-04",63.31,35.01,64.39,"democrat","Jesús G. \""Chuy\"" García","democrat"
"IL","05","IL-05",68.01,30.79,68.84,"democrat","Mike Quigley","democrat"
"IL","06","IL-06",51.65,46.16,52.81,"democrat","Sean Casten","democrat"
"IL","07","IL-07",82.18,16.69,83.12,"democrat","Danny K. Davis","democrat"
"IL","08","IL-08",52.83,45.87,53.53,"democrat","Raja Krishnamoorthi","democrat"
"IL","09","IL-09",67.7,31.18,68.47,"democrat","Janice D. Schakowsky","democrat"
"IL","10","IL-10",60.34,38.32,61.16,"democrat","Bradley Scott Schneider","democrat"
"IL","11","IL-11",54.97,43.57,55.78,"democrat","Bill Foster","democrat"
"IL","12","IL-12",27.51,70.99,27.93,"republican","Mike Bost","republican"
"IL","13","IL-13",54.5,43.85,55.41,"democrat","Nikki Budzinski","democrat"
