"fips","name","class","bin","rate"
"27025","Chisago County","ok",2,0.605
"21189","Owsley County","ok",1,0.217
"42015","Bradford County","ok",2,0.719
"54029","Hancock County","ok",3,1.101
"29051","Cole County","ok",4,1.563
"26021","Berrien County","ok",2,0.782
"42061","Huntingdon County","impossible",NA,-0.46
"31045","Dawes County","ok",4,2.446
"51141","Patrick County","ok",2,0.625
"26119","Montmorency County","ok",2,0.653
"26135","Oscoda County","ok",2,0.878
"35007","Colfax County","ok",2,0.7
"17163","St. Clair County","impossible",NA,-4.385
"17189","Washington County","ok",3,1.383
"42009","Bedford County","ok",1,0.326
"05127","Scott County","impossible",NA,-0.237
"20099","Labette County","ok",3,1.025
"42073","Lawrence County","ok",2,0.593
"39067","Harrison County","ok",3,1.264
"37003","Alexander County","ok",3,1.055
"34009","Cape May County","ok",3,1.152
"33005","Cheshire County","ok",2,0.749
"27089","Marshall County","ok",2,0.731
"51101","King William County","ok",1,0.413
"08055","Huerfano County","ok",4,1.618
"48255","Karnes County","ok",2,0.51
"47023","Chester County","ok",2,0.799
"17171","Scott County","ok",2,0.615
"49027","Millard County","ok",4,1.769
"49029","Morgan County","ok",5,3.54
"48257","Kaufman County","ok",2,0.622
"04011","Greenlee County","ok",2,0.988
"04013","Maricopa County","ok",3,1.179
"26129","Ogemaw County","ok",2,0.599
"47087","Jackson County","ok",2,0.752
"17159","Richland County","impossible",NA,-1.828
"01009","Blount County","ok",1,0.082
"30051","Liberty County","ok",5,2.564
"48131","Duval County","ok",5,3.692
"29173","Ralls County","ok",6,21.668
"48251","Johnson County","ok",5,4.921
"13061","Clay County","ok",1,0.414
"41023","Grant County","ok",4,1.777
"41011","Coos County","ok",5,2.854
"48159","Franklin County","ok",1,0.487
"36113","Warren County","ok",4,1.577
"51113","Madison County","ok",2,0.741
"40005","Atoka County","ok",1,0.282
"17129","Menard County","ok",5,3.166
"13015","Bartow County","ok",2,0.596
"12069","Lake County","ok",2,0.849
"40111","Okmulgee County","ok",1,0.306
"38083","Sheridan County","ok",4,1.697
"18049","Fulton County","ok",3,1.305
"20091","Johnson County","ok",3,1.381
"24009","Calvert County","ok",1,0.484
"55129","Washburn County","nodata",NA,NA
"53031","Jefferson County","ok",1,0.199
